nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_choose_same1,dummy_choose_same2,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol_promise
-9.20046646976e+18,42123979,0,1,0,0,0,0,0,1,0,0,4840,100,74,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,-1187.522,0,
-9.20046646976e+18,42123982,0,1,0,0,0,0,0,1,0,0,3100,100,74,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,-1304.9744,0,
-9.20046646976e+18,42123981,0,1,0,0,0,0,0,1,0,0,2370,100,74,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,-1063.2218,0,
-9.20046646976e+18,42123980,0,1,0,0,0,0,0,1,0,0,2500,100,74,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,-1069.9207,0,
-9.20046646976e+18,42123978,0,1,0,0,0,0,0,1,0,0,3170,100,74,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,-1292.2188,0,
-9.16516169086e+18,3595471,0,0,0,0,0,1,0,0,0,0,1360,100,48,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,-580.42419,0,
-9.15634713117e+18,78133121,0,0,0,1,0,0,0,0,1,0,480,100,45,1,.2857143,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,-287.59488,0,
-9.13692471772e+18,78134259,0,1,0,0,0,0,0,0,1,0,300,100,35,1,.42857143,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,-930.8526,0,
-9.13235681189e+18,5522964,1,0,0,0,0,0,1,0,0,0,450,100,49,1,.14285715,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,-727.12115,0,
-9.10705168816e+18,5522747,0,0,0,0,1,0,1,0,0,0,380,100,40,1,.14285715,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,-367.33521,0,
-9.08821747816e+18,80117247,0,0,0,1,0,0,0,0,0,1,1900,100,72,1,.14285715,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,199.40184,0,
-9.06798967368e+18,42124894,1,0,0,0,0,0,0,1,0,0,2030,40,65,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,-2238.8142,0,
-9.06656604404e+18,5514273,0,0,0,0,1,0,1,0,0,0,50,100,47,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,-174.27391,0,
-9.05241031017e+18,5522954,1,0,0,0,0,0,1,0,0,0,1280,100,40,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,-690.21686,0,
-9.00724158710e+18,10462474,0,0,0,0,1,0,0,0,0,0,1500,100,24,1,.14285715,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,-693.66559,0,
-8.94540556633e+18,3594094,0,0,0,1,0,1,0,0,0,0,2800,90,35,1,.2857143,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,-1223.4927,0,
-8.94540556633e+18,3594093,0,0,0,1,0,1,0,0,0,0,3280,90,35,1,.2857143,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,-1302.2767,0,
-8.91435295223e+18,42124589,0,1,0,0,0,0,0,1,0,0,690,100,38,1,.14285715,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,-716.86798,0,
-8.88315713377e+18,78133246,1,0,0,0,0,0,0,0,1,0,450,100,60,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,-783.65106,0,
